馨	duftend		mild	w
噴	duftend		niesen	w
芳	duftend		wohlriechend	w
煬	duftete			
呆	dumm			
餃	Dumpling			
暗	dunkel			
滄	dunkelblau			
緋	dunkelrot		Liebesaffäre	w
殷	dunkelrot		reichlich	a
氛	Dunst			
邁	Duplikation			
複	duplizieren			
瀏	durchblättern			
貫	durchbohren			
瀉	Durchfall			
承	durchführen		Verpflichtung	w
搞	durchführen		auf Trab bringen	w
歷	durchmachen			
渥	durchnässen			
澈	durchsichtig			
透	durchsickern		Osmose	w
漓	durchsickern		Fluss	n
勾	durchstreichen			
浸	durchtränken			
涉	durchwaten			
渴	durstig			
朝	Dynastie			
昏	Dämmerung			
朦	dämmrig			
魔	Dämon		Satan	w
妖	Dämon		finstere Kräfte	w
煞	Dämon		Bremse	w
拗	dümmlich			
細	dünn			
旱	Dürre			
均	eben			
亦	ebenso			
響	Echo			
真	echt			
稜	Ecke		Prisma	w
楞	Ecke		Tischkante	w
瑜	Edelstein			
效	Effekt			
婚	Ehe			
婦	Ehefrau		macht Hausarbeit...	d
妻	Ehefrau		sie ist verheiratet!	d
夫	Ehemann			
榮	Ehre			
恪	ehrerbietig			
誠	ehrlich			
蛋	Ei			
誓	Eid			
蜥	Eidechse			
妒	eifersüchtig			
奮	eifrig			
擅	eigenmächtig			
並	eigentlich			
桶	Eimer			
稍	ein wenig			
侵	eindringen			
梗	eindämmen			
悅	eine Freude machen			
拓	einen Steinabrieb machen			
易	einfach		Handel	w
儉	einfach		bedürfnislos	a
惶	eingeschüchter			
臟	Eingeweide			
淩	eingreifen			
些	einige			
盟	Einigkeit			
匝	einkreisen			
邀	einladen			
閣	Einlegeboden			
鑲	einlegen		Ab	p
嵌	einlegen		aB	p
序	Einleitung			
遍	einmal			
占	einnehmen		Marktanteil	w
拎	einnehmen		schleppen	a
敷	einreiben			
呈	einreichen			
一	eins		normal	d
壹	eins		finanz.	d
寂	einsam		Ab	p
寞	einsam		aB	p
輯	einsammeln		Redakteur	w
攏	einsammeln		aufrücken	w
囑	einschärfen			
雇	einstellen		Angestellter	w
聘	einstellen		Stellenanzeige	w
綴	einstellen		schmücken	w
倒	einstürzen			
入	eintreten			
裹	einwickeln			
征	einziehen		Militär	d
唯	einzig			
柵	Einzäunung			
冰	Eis			
鐵	Eisen			
凜	eiskalt			
象	Elefanten			
秀	elegant			
電	Elektrizität			
橢	Ellipse			
鵲	Elster			
胎	Embryo		Reifen	w
碧	Emerald			
冒	emittieren			
情	Emotion			
接	empfangen			
薦	empfehlen			
涌	emporsteigen			
末	Ende		Wochenende	w
終	Ende		Endstation	w
渺	endlos			
緊	eng		nervös	w
狹	eng		begrenzt	w
英	England			
圳	Engwässerungsgraben			
揭	enhüllen			
孫	Enkel			
痊	entdecken			
鴨	Ente			
展	entfalten		Entwicklung	w
衍	entfalten		redundant	a
撤	entfernen			
遠	entfernt		unendlich	w
遼	entfernt		weiträumig	w
距	Entfernung			
反	entgegengesetzt			
洩	enthüllen			
逸	entkommen			
沿	entlang			
決	entscheiden			
堅	entschlossen			
歉	entschuldigen			
償	entschädigen			
慘	entsetzlich			
鬆	entspannen			
鎮	entspannt			
憑	entsprechend			
惘	enttäuscht			
溜	entwischen			
炎	Entzündung			
酶	Enym			
代	Epoche			
他	er			
造	erbauen			
